NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0001666	GO:0001666	Details ...	105	-0.5159339	-2.3261037	0.0	0.0030993964	0.003	2395	tags=37%, list=12%, signal=42%	
GO:0036294	GO:0036294	Details ...	96	-0.5134666	-2.2995448	0.0	0.0020634746	0.004	2395	tags=36%, list=12%, signal=41%	
GO:0036293	GO:0036293	Details ...	107	-0.5125666	-2.299385	0.0	0.0013756497	0.004	2395	tags=36%, list=12%, signal=41%	
GO:0071453	GO:0071453	Details ...	96	-0.5134666	-2.2928915	0.0	0.0010317373	0.004	2395	tags=36%, list=12%, signal=41%	
GO:0070482	GO:0070482	Details ...	107	-0.5125666	-2.286266	0.0	8.2538987E-4	0.004	2395	tags=36%, list=12%, signal=41%	
GO:0071456	GO:0071456	Details ...	95	-0.513911	-2.2759717	0.0	6.8782485E-4	0.004	2395	tags=37%, list=12%, signal=42%	
GO:0061659	GO:0061659	Details ...	95	-0.4789471	-2.1610146	0.0	0.0030903798	0.021	6285	tags=56%, list=32%, signal=82%	
GO:0061630	GO:0061630	Details ...	94	-0.47257793	-2.1272373	0.0	0.003614421	0.028	6285	tags=55%, list=32%, signal=81%	
GO:0071365	GO:0071365	Details ...	114	-0.4562885	-2.0980456	0.0	0.005374226	0.046	3091	tags=39%, list=16%, signal=46%	
GO:0009734	GO:0009734	Details ...	109	-0.44426152	-2.0352437	0.0	0.010608454	0.097	3091	tags=38%, list=16%, signal=44%	
GO:0019787	GO:0019787	Details ...	190	-0.40802398	-2.0249796	0.0	0.011806498	0.116	6214	tags=48%, list=32%, signal=70%	
GO:0004842	GO:0004842	Details ...	184	-0.40369567	-1.9977711	0.0	0.016284985	0.174	6214	tags=48%, list=32%, signal=70%	
GO:0009733	GO:0009733	Details ...	157	-0.40390915	-1.9588014	0.0	0.02288052	0.246	3091	tags=35%, list=16%, signal=41%	
GO:0019005	GO:0019005	Details ...	42	-0.5117401	-1.9528528	0.0	0.02310167	0.263	2193	tags=31%, list=11%, signal=35%	
GO:0010243	GO:0010243	Details ...	59	-0.47604054	-1.932967	0.0	0.027853543	0.325	3551	tags=39%, list=18%, signal=47%	
GO:0009926	GO:0009926	Details ...	42	-0.49821797	-1.9261526	0.0	0.02778408	0.342	3335	tags=40%, list=17%, signal=49%	
GO:0098791	GO:0098791	Details ...	206	-0.38138878	-1.9246212	0.0	0.026575143	0.346	6501	tags=48%, list=33%, signal=71%	
GO:0005802	GO:0005802	Details ...	142	-0.4041896	-1.9147152	0.0	0.027941084	0.377	6480	tags=53%, list=33%, signal=78%	
GO:0016192	GO:0016192	Details ...	218	-0.38070542	-1.9085789	0.0	0.02783335	0.393	5594	tags=39%, list=29%, signal=53%	
GO:1901698	GO:1901698	Details ...	70	-0.45054042	-1.9057153	0.0	0.02746938	0.399	4281	tags=40%, list=22%, signal=51%	
GO:0044390	GO:0044390		16	-0.64746636	-1.9038765	0.0	0.026948545	0.407	4192	tags=50%, list=21%, signal=64%	
GO:0005768	GO:0005768		216	-0.37821355	-1.877783	0.0	0.034113955	0.496	6978	tags=56%, list=36%, signal=86%	
GO:0009646	GO:0009646		18	-0.6081417	-1.8699838	0.0023310024	0.035235558	0.521	1893	tags=44%, list=10%, signal=49%	
GO:0032511	GO:0032511		21	-0.5755778	-1.8624701	0.004950495	0.036923837	0.553	7183	tags=81%, list=37%, signal=128%	
GO:0009914	GO:0009914		49	-0.4598873	-1.8490229	0.0028169013	0.040833507	0.607	3335	tags=39%, list=17%, signal=47%	
GO:0060918	GO:0060918		48	-0.46618497	-1.8409389	0.0	0.04301881	0.646	3335	tags=40%, list=17%, signal=48%	
