NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0031976	GO:0031976	Details ...	276	0.6866674	3.166012	0.0	0.0	0.0	4307	tags=72%, list=22%, signal=92%	
GO:0034357	GO:0034357	Details ...	226	0.69599175	3.1506724	0.0	0.0	0.0	3053	tags=63%, list=16%, signal=74%	
GO:0055035	GO:0055035	Details ...	214	0.7021728	3.150292	0.0	0.0	0.0	3053	tags=65%, list=16%, signal=76%	
GO:0009534	GO:0009534	Details ...	276	0.6866674	3.1299949	0.0	0.0	0.0	4307	tags=72%, list=22%, signal=92%	
GO:0009535	GO:0009535	Details ...	214	0.7021728	3.1283357	0.0	0.0	0.0	3053	tags=65%, list=16%, signal=76%	
GO:0042651	GO:0042651	Details ...	225	0.69682395	3.123553	0.0	0.0	0.0	3053	tags=64%, list=16%, signal=74%	
GO:0031968	GO:0031968	Details ...	272	0.6312066	2.9174073	0.0	0.0	0.0	3912	tags=58%, list=20%, signal=72%	
GO:0019867	GO:0019867	Details ...	272	0.6312066	2.901266	0.0	0.0	0.0	3912	tags=58%, list=20%, signal=72%	
GO:0044391	GO:0044391	Details ...	219	0.64402777	2.8986478	0.0	0.0	0.0	5972	tags=80%, list=30%, signal=114%	
GO:0003735	GO:0003735	Details ...	266	0.6139937	2.8231351	0.0	0.0	0.0	6045	tags=74%, list=31%, signal=106%	
GO:0015934	GO:0015934	Details ...	128	0.6657828	2.8188741	0.0	0.0	0.0	6027	tags=85%, list=31%, signal=122%	
GO:0022625	GO:0022625	Details ...	94	0.68878174	2.7761493	0.0	0.0	0.0	5812	tags=91%, list=30%, signal=129%	
GO:0022626	GO:0022626	Details ...	207	0.60582906	2.704631	0.0	0.0	0.0	5812	tags=78%, list=30%, signal=109%	
GO:0015979	GO:0015979	Details ...	135	0.6361219	2.6734822	0.0	0.0	0.0	2600	tags=56%, list=13%, signal=64%	
GO:0031977	GO:0031977	Details ...	49	0.7055455	2.56439	0.0	0.0	0.0	4307	tags=78%, list=22%, signal=99%	
GO:0042788	GO:0042788	Details ...	72	0.66133523	2.5634797	0.0	0.0	0.0	4891	tags=75%, list=25%, signal=100%	
GO:0019684	GO:0019684	Details ...	70	0.6477765	2.5085897	0.0	0.0	0.0	3012	tags=61%, list=15%, signal=72%	
GO:0005844	GO:0005844	Details ...	75	0.6404409	2.4991012	0.0	0.0	0.0	4891	tags=72%, list=25%, signal=96%	
GO:0009521	GO:0009521	Details ...	55	0.67533875	2.4727876	0.0	0.0	0.0	2600	tags=58%, list=13%, signal=67%	
GO:0022627	GO:0022627	Details ...	73	0.645433	2.4660714	0.0	0.0	0.0	4843	tags=71%, list=25%, signal=94%	
GO:0031978	GO:0031978		41	0.7061655	2.4603088	0.0	0.0	0.0	2600	tags=63%, list=13%, signal=73%	
GO:0015935	GO:0015935		91	0.61110604	2.4288821	0.0	0.0	0.0	4843	tags=65%, list=25%, signal=86%	
GO:0009543	GO:0009543		41	0.7061655	2.4153917	0.0	0.0	0.0	2600	tags=63%, list=13%, signal=73%	
GO:0009657	GO:0009657		125	0.57048327	2.402591	0.0	0.0	0.0	4505	tags=54%, list=23%, signal=69%	
GO:0009523	GO:0009523		44	0.6690446	2.341492	0.0	0.0	0.0	2600	tags=57%, list=13%, signal=65%	
GO:0019843	GO:0019843		79	0.5868946	2.317299	0.0	0.0	0.0	6461	tags=75%, list=33%, signal=111%	
GO:0009658	GO:0009658		94	0.5660574	2.2867904	0.0	0.0	0.0	4505	tags=54%, list=23%, signal=70%	
GO:0010287	GO:0010287		30	0.6987654	2.24779	0.0	6.9300346E-5	0.002	5861	tags=97%, list=30%, signal=138%	
GO:0042273	GO:0042273		57	0.60723215	2.244567	0.0	6.691068E-5	0.002	6434	tags=77%, list=33%, signal=115%	
GO:0003777	GO:0003777		43	0.63756275	2.2258394	0.0	9.829196E-5	0.003	4543	tags=72%, list=23%, signal=94%	
GO:0019904	GO:0019904		38	0.64686584	2.210207	0.0	9.512124E-5	0.003	5930	tags=87%, list=30%, signal=124%	
GO:0007018	GO:0007018		42	0.6353291	2.2081385	0.0	9.214871E-5	0.003	4543	tags=71%, list=23%, signal=93%	
GO:0042254	GO:0042254		229	0.4826218	2.193662	0.0	8.935632E-5	0.003	6566	tags=55%, list=34%, signal=82%	
GO:0010319	GO:0010319		24	0.7022477	2.181404	0.0	8.672819E-5	0.003	5015	tags=79%, list=26%, signal=106%	
GO:0003774	GO:0003774		46	0.6159713	2.181194	0.0	8.425024E-5	0.003	4543	tags=70%, list=23%, signal=90%	
GO:0031969	GO:0031969		136	0.51150155	2.176192	0.0	8.190996E-5	0.003	5598	tags=58%, list=29%, signal=81%	
GO:0009765	GO:0009765		22	0.70301384	2.1456902	0.0	1.8655686E-4	0.007	1805	tags=55%, list=9%, signal=60%	
GO:0009522	GO:0009522		22	0.69445944	2.1420424	0.0	1.8164745E-4	0.007	5861	tags=95%, list=30%, signal=136%	
GO:0004176	GO:0004176		19	0.7295012	2.0867393	0.0	5.539924E-4	0.022	2721	tags=74%, list=14%, signal=85%	
GO:0010207	GO:0010207		16	0.74959797	2.0624657	0.0	8.8216586E-4	0.036	2016	tags=63%, list=10%, signal=70%	
GO:0000470	GO:0000470		31	0.62183726	2.0397913	0.0	0.0010996778	0.046	6434	tags=77%, list=33%, signal=115%	
GO:0009528	GO:0009528		40	0.5774058	2.0128162	0.0	0.0017296274	0.072	5598	tags=65%, list=29%, signal=91%	
GO:0046148	GO:0046148		56	0.54877895	2.0076978	0.0	0.0018501832	0.078	4243	tags=55%, list=22%, signal=70%	
