"","ID","NAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"16749","AT5G22500","FAR1",-552.065312118178,295.104339134448,-84.1839956528024,1.83439493791509e-11,1.81183188017874e-07,2.62680092454795
"19427","AT5G65010","ASN2",273.078120457135,159.260069505349,91.1791202275931,1.07007838912278e-11,1.81183188017874e-07,2.63088533069596
"14077","AT4G28780",NA,130.284102800575,66.9069495198361,78.916850279012,2.83753000470681e-11,1.86841892376594e-07,2.62298747692078
"2256","AT1G29660",NA,222.849897085169,129.813066360359,69.6913092436761,6.56744176804208e-11,2.20560505269571e-07,2.61412565542786
"13961","AT4G27450",NA,-160.219182206992,113.92007841693,-69.8105437979146,6.492104879852e-11,2.20560505269571e-07,2.61426285378815
"15158","AT5G02260","ATEXP9",-166.901028755308,119.971359292114,-69.4864801587379,6.69921550884593e-11,2.20560505269571e-07,2.61388833058719
"2739","AT1G45474","Lhca5",152.822814028724,110.301611327995,66.3863612792416,9.11584325020941e-11,2.57249096520909e-07,2.6100264300372
"18375","AT5G51720","At-NEET",100.646521900826,53.2381344152282,57.5368136880744,2.39337954578826e-10,5.90985244343767e-07,2.59540602015699
"6773","AT2G31380","BBX25",79.3724705405101,41.4355203413283,55.139291568736,3.18925355342129e-10,5.9449093546307e-07,2.59020237857775
"7666","AT2G42220","STR9",515.548586408612,361.529248394942,54.1323441293192,3.61136540728807e-10,5.9449093546307e-07,2.58781090722305
"9868","AT3G21090","ABCG15",-166.477650483038,116.766693054483,-54.6745174534107,3.37662226671691e-10,5.9449093546307e-07,2.5891147357669
"18123","AT5G48490","DEG15",175.614001919386,94.8078454106164,55.3946101004694,3.09141626649149e-10,5.9449093546307e-07,2.59078840762247
"9349","AT3G14930","HEME1",244.848383055025,214.265773446979,52.5183315983121,4.42914958911264e-10,6.73026315256393e-07,2.58369127042103
"3817","AT1G64110","DAA1",-176.652156314266,131.009813105958,-48.5442044782775,7.52856067150906e-10,8.74818750029352e-07,2.57177012812167
"4657","AT1G74730","RIQ2",147.902835687648,99.4916406517835,49.0857978221958,6.98605491021065e-10,8.74818750029352e-07,2.57356375565875
"12302","AT4G02920",NA,116.984556335491,118.69423186041,48.8521456359283,7.21440342668854e-10,8.74818750029352e-07,2.57279714108724
"15149","AT5G02160","FIP",321.319295488535,221.891980965004,49.2331062390768,6.84635507697529e-10,8.74818750029352e-07,2.57404157333819
"9734","AT3G19480","3-PGDH",90.8343067164952,57.3942194701824,47.6608631620045,8.52056683882344e-10,9.35084874078435e-07,2.56871489136034
"4674","AT1G74960","ATKAS2",119.368922496444,143.780219819144,46.6341853260589,9.86750721715064e-10,9.74613687837969e-07,2.56494766514409
"4764","AT1G76100","PETE1",228.081861101451,159.124774927479,46.7214364728629,9.74398627093559e-10,9.74613687837969e-07,2.56527731806705
"2698","AT1G44446","ATCAO",474.340671220523,306.442156816847,44.6470436520751,1.32324345687186e-09,1.05593771362932e-06,2.55691966820886
"3476","AT1G58290","AtHEMA1",876.666137920391,584.175782748138,43.898651208625,1.48286041280417e-09,1.05593771362932e-06,2.55361602604483
"3906","AT1G65230",NA,94.905892601622,65.0280187870007,42.3368523957563,1.89266850079929e-09,1.05593771362932e-06,2.54616203507862
"4168","AT1G68830","STN7",141.145618922629,89.5266452362194,45.4325540764358,1.17653493693159e-09,1.05593771362932e-06,2.56021662209081
"6710","AT2G30520","RPT2",1028.1780764667,584.473810345132,42.3956164122471,1.87506942657928e-09,1.05593771362932e-06,2.54645714869042
"8203","AT3G01480","ATCYP38",327.027033580066,256.683053141905,44.0857527577452,1.44097613736977e-09,1.05593771362932e-06,2.55445740703792
"8325","AT3G02830","PNT1",128.123317938231,81.8582217641688,42.4896687960732,1.84729124814538e-09,1.05593771362932e-06,2.54692699422858
"9448","AT3G16000","MFP1",175.569085193323,162.197797030349,42.7044280069917,1.7856144526035e-09,1.05593771362932e-06,2.54798849288672
"10014","AT3G23030","IAA2",-154.389587502265,161.397663373261,-45.6184448019108,1.14460547834441e-09,1.05593771362932e-06,2.56097253213013
"10607","AT3G44970",NA,88.4822440143714,47.367134653895,42.2326059115109,1.92435748155592e-09,1.05593771362932e-06,2.54563554469172
"12396","AT4G04850","ATKEA3",94.0153865533793,62.0153877304011,43.0059820657122,1.70295680842449e-09,1.05593771362932e-06,2.54945284631677
"12511","AT4G09010","APX4",376.035211465684,296.872277545679,42.276510542393,1.91093765804078e-09,1.05593771362932e-06,2.54585774596444
"13200","AT4G17730","ATSYP23",-99.9835300872777,128.136229372848,-44.4410337999019,1.36512386321352e-09,1.05593771362932e-06,2.55602654873445
"14836","AT4G37760","SQE3",71.3158212721872,49.7382631634148,43.0578280334613,1.68919226162678e-09,1.05593771362932e-06,2.54970158676375
"19305","AT5G63650","SNRK2-5",-199.274560687297,111.155962679482,-42.4883241900867,1.84768503313944e-09,1.05593771362932e-06,2.54692029861901
"19496","AT5G65730","XTH6",200.145786545142,101.462625504025,44.5726134286916,1.33820216169121e-09,1.05593771362932e-06,2.5565983874574
"1633","AT1G20190","ATEXP11",-112.115036576656,102.901975718797,-41.506288623416,2.16284088900173e-09,1.1243357610879e-06,2.54185920039869
