"Treatment","Genotype","Replicate","Group"
"dark","WT","a","dark_WT"
"dark","WT","b","dark_WT"
"dark","WT","c","dark_WT"
"dark","phyAB","a","dark_phyAB"
"dark","phyAB","b","dark_phyAB"
"dark","phyAB","c","dark_phyAB"
"dark","hy5","a","dark_hy5"
"dark","hy5","b","dark_hy5"
"dark","hy5","c","dark_hy5"
"dark","pifq","a","dark_pifq"
"dark","pifq","b","dark_pifq"
"dark","pifq","c","dark_pifq"
"light","WT","a","light_WT"
"light","WT","b","light_WT"
"light","WT","c","light_WT"
"light","phyAB","a","light_phyAB"
"light","phyAB","b","light_phyAB"
"light","phyAB","c","light_phyAB"
"light","hy5","a","light_hy5"
"light","hy5","b","light_hy5"
"light","hy5","c","light_hy5"
"light","pifq","a","light_pifq"
"light","pifq","b","light_pifq"
"light","pifq","c","light_pifq"
